ID,X_COORD,Y_COORD,XX,YY,USO,13_02_04,20_02_04,02_03_04,05_03_04,12_03_04,17_03_04,26_03_04,02_04_04,07_04_04,22_04_04,27_04_04,10_05_04,20_05_04,31_05_04
1,0.000,0.000,284571.222,4777199.930,perimetro,25.80,39.50,36.30,27.70,37.40,31.70,38.30,28.60,34.80,32.90,25.70,36.50,21.60,24.60
2,9.908,-1.371,284567.883,4777209.358,perimetro,26.20,38.00,33.80,30.10,31.00,31.00,31.50,30.00,27.30,27.50,29.60,30.50,22.90,24.40
3,20.120,-3.092,284564.715,4777219.217,perimetro,31.40,38.40,36.60,36.10,35.30,32.50,31.20,32.80,32.10,32.70,27.30,26.80,24.80,21.40
4,29.987,-4.469,284561.399,4777228.612,perimetro,25.10,32.30,29.50,28.00,37.80,15.80,26.60,22.00,18.40,25.60,29.40,28.50,20.20,19.00
5,35.151,-12.845,284566.461,4777237.049,perimetro,19.50,29.30,26.20,28.30,29.00,27.50,24.00,21.50,16.20,26.10,19.20,29.00,17.60,19.30
6,39.167,-19.500,284570.523,4777243.676,perimetro,28.80,39.70,37.10,26.70,37.10,29.80,30.10,31.40,26.80,31.20,31.90,34.00,22.20,21.60
7,43.756,-27.073,284575.137,4777251.234,perimetro,29.10,30.80,36.30,29.10,30.40,27.60,32.90,31.00,26.80,29.60,28.20,36.00,28.20,27.40
8,48.117,-34.073,284579.346,4777258.325,perimetro,32.50,34.70,37.50,34.80,38.20,31.30,35.50,33.00,30.60,34.10,36.40,33.10,30.50,30.60
9,39.970,-38.777,284587.270,4777253.255,perimetro,30.80,35.90,38.20,34.00,34.20,35.40,32.30,31.40,30.00,34.70,33.70,38.20,28.80,31.80
10,30.676,-42.449,284594.805,4777246.691,perimetro,29.10,37.60,36.30,33.50,35.90,25.60,32.00,34.80,28.30,34.00,34.90,35.80,25.00,32.80
11,20.693,-45.317,284601.943,4777239.147,perimetro,29.30,38.50,39.90,35.00,39.20,29.80,32.70,37.30,30.60,34.10,34.30,36.90,22.30,33.00
12,10.711,-47.498,284608.470,4777231.286,perimetro,34.80,44.30,39.70,37.80,36.00,36.80,38.50,35.10,35.30,39.40,36.50,38.60,27.30,36.90
13,0.499,-48.874,284614.389,4777222.852,perimetro,30.70,39.20,46.50,37.70,38.50,38.50,35.90,35.20,34.80,47.10,41.60,45.00,28.20,30.30
14,-9.599,-49.792,284619.848,4777214.308,perimetro,29.90,43.40,53.00,35.80,38.40,33.60,33.00,31.90,33.40,44.60,37.70,46.30,26.20,30.70
15,-19.696,-50.022,284624.696,4777205.448,perimetro,29.70,46.00,45.70,29.10,38.20,30.20,27.20,31.70,26.50,38.20,36.30,43.10,31.70,30.90
16,-29.908,-50.137,284629.494,4777196.433,perimetro,28.90,40.90,47.60,29.80,36.60,29.20,34.90,30.20,29.70,49.40,36.90,44.30,32.40,24.00
17,-39.661,-49.333,284633.267,4777187.404,perimetro,29.20,47.60,47.50,29.90,38.30,29.00,31.00,30.20,31.40,51.50,33.10,44.30,23.50,24.00
18,-48.955,-44.629,284633.364,4777176.988,perimetro,33.80,38.90,38.00,35.20,31.40,28.90,32.70,28.80,29.80,34.80,28.30,33.80,19.50,20.00
19,-42.185,-36.597,284623.119,4777179.305,perimetro,20.90,31.10,31.20,26.50,27.40,25.70,26.90,25.50,21.10,27.50,24.90,28.10,15.80,17.10
20,-35.760,-28.680,284613.134,4777181.369,perimetro,24.30,34.10,30.30,21.70,35.10,28.80,31.40,28.40,31.90,22.20,23.60,28.30,20.00,16.10
21,-29.564,-21.451,284603.866,4777183.546,perimetro,29.20,38.80,36.00,29.60,32.60,23.10,33.70,28.30,28.10,27.30,30.90,35.00,26.40,15.90
22,-23.023,-13.763,284594.032,4777185.817,perimetro,30.10,34.40,34.60,27.80,35.80,28.60,31.70,30.10,28.00,28.90,27.90,33.70,24.70,15.40
23,-16.483,-5.961,284584.096,4777188.036,perimetro,32.10,39.30,36.10,30.10,29.30,33.60,27.60,35.10,30.50,26.30,28.80,32.70,23.20,15.90
24,-10.402,1.612,284574.575,4777189.953,perimetro,29.30,36.70,33.70,27.10,36.90,29.00,33.20,29.50,30.40,33.50,32.80,32.90,23.30,21.50
25,-6.960,-8.256,284581.753,4777197.548,interno,26.10,34.00,28.60,27.30,29.40,22.00,28.90,28.90,23.80,27.50,22.60,29.40,22.40,16.10
26,3.711,-9.518,284577.966,4777207.603,interno,27.90,33.40,28.90,29.90,30.00,28.90,28.10,31.10,26.30,32.90,24.10,28.20,20.50,22.00
27,14.727,-10.780,284574.021,4777217.964,interno,22.60,35.40,29.40,21.00,28.50,23.30,22.40,28.60,18.40,27.10,26.00,26.30,20.10,17.60
28,25.627,-11.813,284569.924,4777228.118,interno,22.10,31.80,38.40,30.60,28.50,29.40,22.60,27.20,21.90,22.70,21.70,23.00,16.50,18.90
