FIELD_1,FIELD_2,FIELD_3,FIELD_4,TAR_SLOPE.,TARRAWAR,TAR_PROFCU,TAR_ASPECT,TAR_PLANCU,TAR_MCURV.
2,800,930,52.90000000,0.07567734,92.33999634,0.00311310,3.99231791,-0.00111329,0.00199982
2,800,920,50.40000000,0.08554565,91.86000061,0.00214330,4.15997028,-0.00054296,0.00160034
2,800,910,47.50000000,0.08023883,91.47000122,0.00121076,4.34342813,-0.00121046,0.00000031
2,800,900,47.60000000,0.06497774,91.30000305,0.00187049,4.66626978,-0.00266974,-0.00079926
2,820,890,46.50000000,0.03327426,91.66999817,0.00421489,2.14213657,0.00058461,0.00479950
2,820,900,47.50000000,0.03251538,91.86000061,0.00210010,2.35617781,0.00189984,0.00399994
2,820,910,46.50000000,0.03892922,92.12999725,0.00183482,2.41068339,0.00416494,0.00599976
2,820,920,42.70000000,0.04576088,92.41999817,0.00461290,2.12244797,0.00458724,0.00920013
2,820,930,45.60000000,0.05407659,92.58999634,0.00597175,1.77543974,0.00202812,0.00799988
2,820,940,46.20000000,0.06914948,92.65000153,0.00569008,1.65754282,-0.00048989,0.00520020
2,820,950,47.00000000,0.08661559,92.76999664,0.00290253,1.82695019,-0.00130341,0.00159912
2,820,960,48.50000000,0.10473426,93.12000275,0.00054502,2.05571532,-0.00134458,-0.00079956
2,820,970,45.30000000,0.11845891,93.73999786,0.00003713,2.23110247,-0.00123739,-0.00120026
2,820,980,49.50000000,0.12311981,94.55999756,0.00110665,2.35048342,-0.00070687,0.00039978
2,840,1030,45.80000000,0.05161641,97.84999847,0.00270967,2.88722968,-0.00070986,0.00199982
2,840,1020,45.70000000,0.07772759,97.23999786,0.00367256,2.86858511,-0.00047279,0.00319977
2,840,1010,54.50000000,0.10374632,96.34999847,0.00249512,2.85933447,-0.00129547,0.00119965
2,840,1000,45.00000000,0.11804434,95.26000214,0.00054700,2.83317351,-0.00254682,-0.00199982
2,840,990,48.30000000,0.11756185,94.12999725,-0.00059053,2.76894951,-0.00300963,-0.00360016
2,840,980,48.20000000,0.11488623,93.05999756,-0.00047569,2.69344521,-0.00272439,-0.00320007
2,840,970,47.70000000,0.10886139,92.05999756,-0.00142625,2.57136035,-0.00377425,-0.00520050
2,840,960,47.00000000,0.09876356,91.26000214,-0.00120560,2.31335998,-0.00439407,-0.00559967
2,840,950,48.30000000,0.09649852,90.76000214,-0.00171002,1.91868520,-0.00388934,-0.00559937
2,840,940,49.10000000,0.10696792,90.56999969,-0.00172695,1.65470755,-0.00147282,-0.00319977
2,840,930,44.10000000,0.11942938,90.52999878,-0.00160004,1.57079637,-0.00080017,-0.00240021
2,840,920,45.00000000,0.12041453,90.54000092,0.00040009,1.57079637,0.00000000,0.00040009
2,840,910,45.60000000,0.11254065,90.52999878,0.00115356,1.58849728,0.00004639,0.00119995
2,840,900,50.00000000,0.09991092,90.50000000,0.00225474,1.64068198,0.00134542,0.00360016
2,840,890,47.90000000,0.09328571,90.37999725,0.00214588,1.75351632,0.00145398,0.00359985
2,840,880,48.80000000,0.09179060,90.16000366,0.00139768,1.86849153,0.00140292,0.00280060
2,860,870,41.20000000,0.10514729,87.94999695,0.00018708,1.79048932,0.00061249,0.00079956
2,860,880,47.50000000,0.10777050,88.15000153,0.00029182,1.71923268,0.00090844,0.00120026
2,860,890,46.60000000,0.10886076,88.26999664,-0.00036475,1.64406133,0.00076392,0.00039917
2,860,900,46.30000000,0.10364657,88.30999756,-0.00156869,1.59002149,-0.00003165,-0.00160034
2,860,910,50.30000000,0.09182776,88.33000183,-0.00227537,1.61424828,-0.00092440,-0.00319977
2,860,920,42.70000000,0.07945628,88.41999817,-0.00250559,1.77311337,-0.00229452,-0.00480011
2,860,930,47.00000000,0.06831894,88.65000153,-0.00189822,2.04098606,-0.00370145,-0.00559967
2,860,940,55.10000000,0.06356966,89.02999878,-0.00118392,2.37840939,-0.00441636,-0.00560028
2,860,950,53.60000000,0.07196540,89.58999634,-0.00130424,2.72759032,-0.00309639,-0.00440063
2,860,960,47.80000000,0.09231152,90.37999725,-0.00171133,2.95691085,-0.00228892,-0.00400024
2,860,970,47.50000000,0.10803980,91.38999939,-0.00070361,3.04926491,-0.00249677,-0.00320038
2,860,980,48.30000000,0.11477073,92.51000214,-0.00039556,3.07213736,-0.00240412,-0.00279968
2,860,990,50.20000000,0.11859232,93.68000031,-0.00039277,3.09121084,-0.00160705,-0.00199982
2,860,1000,45.90000000,0.11957714,94.88999939,0.00080586,3.09163642,-0.00080617,-0.00000031
2,860,1010,50.40000000,0.10765564,96.05000305,0.00242541,3.10457158,-0.00082507,0.00160034
2,860,1020,51.10000000,0.08579475,97.01999664,0.00238546,3.15322256,-0.00118582,0.00119965
2,860,1030,50.30000000,0.06440881,97.76999664,0.00220296,3.26595068,-0.00060323,0.00159973
2,860,1040,56.80000000,0.04653921,98.30999756,0.00176414,3.40218234,-0.00056450,0.00119965
2,860,1050,47.10000000,0.02862743,98.66000366,0.00117881,3.57401729,-0.00037834,0.00080048
2,860,1060,46.60000000,0.01702815,98.83000183,-0.00036178,4.01014805,0.00036239,0.00000061
2,880,1060,41.70000000,0.02899160,99.16999817,-0.00048937,3.90260005,0.00088945,0.00040009
2,880,1050,46.70000000,0.02883602,98.94999695,0.00046141,3.72958803,0.00033815,0.00079956
2,880,1040,52.50000000,0.04620556,98.63999939,0.00261229,3.51807904,0.00058748,0.00319977
2,880,1030,53.90000000,0.07311551,98.06999969,0.00263087,3.38988328,0.00016881,0.00279968
2,880,1020,49.00000000,0.09621077,97.23000336,0.00192566,3.31866455,-0.00032532,0.00160034
2,880,1010,45.80000000,0.11036966,96.19999695,0.00124101,3.32305694,-0.00084154,0.00039948
